name,slug,value,date_of_information,ranking,region
"Australia","australia","$57,995,000,000","31 December 2019",37,"Australia and Oceania"
"Sweden","sweden","$55,510,000,000","31 December 2019",38,"Europe"
"South Africa","south-africa","$55,056,000,000","31 December 2019",39,"Africa"
"Colombia","colombia","$52,653,000,000","31 December 2019",40,"South America"
"Lebanon","lebanon","$52,213,000,000","31 December 2019",41,"Middle East"
"Argentina","argentina","$44,881,000,000","31 December 2019",42,"South America"
"Egypt","egypt","$44,569,000,000","31 December 2019",43,"Africa"
"Kuwait","kuwait","$43,668,000,000","31 December 2019",44,"Middle East"
"Netherlands","netherlands","$43,320,000,000","31 December 2019",45,"Europe"
"Romania","romania","$42,007,000,000","31 December 2019",46,"Europe"
"Chile","chile","$40,656,000,000","31 December 2019",47,"South America"
"Qatar","qatar","$39,718,000,000","31 December 2019",48,"Middle East"
"Nigeria","nigeria","$38,336,000,000","31 December 2019",49,"Africa"
"Bangladesh","bangladesh","$32,697,000,000","31 December 2019",50,"South Asia"
"Hungary","hungary","$31,831,000,000","31 December 2019",51,"Europe"
"Uzbekistan","uzbekistan","$29,291,000,000","31 December 2019",52,"Central Asia"
"Belgium","belgium","$28,970,000,000","31 December 2019",53,"Europe"
"Kazakhstan","kazakhstan","$28,958,000,000","31 December 2019",54,"Central Asia"
"Bulgaria","bulgaria","$27,902,000,000","31 December 2019",55,"Europe"
"Morocco","morocco","$26,413,000,000","31 December 2019",56,"Africa"
"Ukraine","ukraine","$25,317,000,000","31 December 2019",57,"Europe"
"Portugal","portugal","$25,003,000,000","31 December 2019",58,"Europe"
"Turkmenistan","turkmenistan","$24,910,000,000","31 December 2017",59,"Central Asia"
"Austria","austria","$23,616,000,000","31 December 2019",60,"Europe"
"Macau","macau","$22,215,000,000","31 December 2019",61,"East and Southeast Asia"
"Croatia","croatia","$20,771,000,000","31 December 2019",62,"Europe"
"Mozambique","mozambique","$20,664,000,000","31 December 2019",63,"Africa"
"Cambodia","cambodia","$18,771,000,000","31 December 2019",64,"East and Southeast Asia"
"New Zealand","new-zealand","$17,814,000,000","31 December 2019",65,"Australia and Oceania"
"Oman","oman","$16,662,000,000","31 December 2019",66,"Middle East"
"Pakistan","pakistan","$16,586,000,000","31 December 2019",67,"South Asia"
"Angola","angola","$16,335,000,000","31 December 2019",68,"Africa"
"Jordan","jordan","$15,560,000,000","31 December 2017",69,"Middle East"
"Serbia","serbia","$14,995,000,000","31 December 2019",70,"Europe"
"Guatemala","guatemala","$14,784,000,000","31 December 2019",71,"Central America and the Caribbean"
"Uruguay","uruguay","$14,504,000,000","31 December 2019",72,"South America"
"Finland","finland","$11,427,000,000","31 December 2019",73,"Europe"
"Cuba","cuba","$11,350,000,000","31 December 2017",74,"Central America and the Caribbean"
"Ghana","ghana","$9,917,000,000","2021",75,"Africa"
"Venezuela","venezuela","$9,794,000,000","2017",76,"South America"
"Afghanistan","afghanistan","$9,749,000,000","2020",77,"South Asia"
"Belarus","belarus","$9,394,000,000","31 December 2019",78,"Europe"
"Kenya","kenya","$9,116,000,000","31 December 2019",79,"Africa"
"Costa Rica","costa-rica","$8,937,000,000","31 December 2019",80,"Central America and the Caribbean"
"Dominican Republic","dominican-republic","$8,871,000,000","31 December 2019",81,"Central America and the Caribbean"
"Nepal","nepal","$8,713,000,000","31 December 2019",82,"South Asia"
"Greece","greece","$8,507,000,000","31 December 2019",83,"Europe"
"Tunisia","tunisia","$7,920,000,000","31 December 2019",84,"Africa"
"Paraguay","paraguay","$7,717,000,000","31 December 2019",85,"South America"
"Burma","burma","$7,670,000,000","2020",86,"East and Southeast Asia"
"Mauritius","mauritius","$7,362,000,000","31 December 2019",87,"Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$7,208,000,000","31 December 2019",88,"Europe"
"Slovakia","slovakia","$7,169,000,000","31 December 2019",89,"Europe"
"Azerbaijan","azerbaijan","$7,043,000,000","31 December 2019",90,"Middle East"
"Trinidad and Tobago","trinidad-and-tobago","$6,929,000,000","31 December 2019",91,"Central America and the Caribbean"
"Iceland","iceland","$6,782,000,000","31 December 2019",92,"Europe"
"Bolivia","bolivia","$6,455,000,000","31 December 2019",93,"South America"
"Cote d'Ivoire","cote-divoire","$6,257,000,000","31 December 2017",94,"Africa"
"Botswana","botswana","$6,170,000,000","31 December 2019",95,"Africa"
"Honduras","honduras","$5,744,000,000","31 December 2019",96,"Central America and the Caribbean"
"Ireland","ireland","$5,733,000,000","31 December 2019",97,"Europe"
"Lithuania","lithuania","$5,085,000,000","31 December 2019",98,"Europe"
"Tanzania","tanzania","$5,050,000,000","2018",99,"Africa"
"Latvia","latvia","$4,480,000,000","31 December 2019",100,"Europe"
"Mongolia","mongolia","$4,364,000,000","31 December 2019",101,"East and Southeast Asia"
"Brunei","brunei","$4,273,000,000","31 December 2019",102,"East and Southeast Asia"
"Bahrain","bahrain","$3,903,000,000","31 December 2019",103,"Middle East"
"Albania","albania","$3,764,000,000","31 December 2019",104,"Europe"
"North Macedonia","north-macedonia","$3,651,000,000","31 December 2019",105,"Europe"
"Jamaica","jamaica","$3,631,000,000","31 December 2019",106,"Central America and the Caribbean"
"Georgia","georgia","$3,506,000,000","31 December 2019",107,"Middle East"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$3,467,000,000","2021",108,"Africa"
"Cameroon","cameroon","$3,459,000,000","2018",109,"Africa"
"El Salvador","el-salvador","$3,426,000,000","2021",110,"Central America and the Caribbean"
"Panama","panama","$3,423,000,000","31 December 2019",111,"Central America and the Caribbean"
"Uganda","uganda","$3,359,000,000","2018",112,"Africa"
"Sri Lanka","sri-lanka","$3,137,000,000","2021",113,"South Asia"
"Moldova","moldova","$3,060,000,000","31 December 2019",114,"Europe"
"Ethiopia","ethiopia","$3,046,000,000","2020",115,"Africa"
"Ecuador","ecuador","$2,939,000,000","31 December 2019",116,"South America"
"Armenia","armenia","$2,850,000,000","31 December 2019",117,"Middle East"
"Kyrgyzstan","kyrgyzstan","$2,429,000,000","31 December 2019",118,"Central Asia"
"Nicaragua","nicaragua","$2,397,000,000","31 December 2019",119,"Central America and the Caribbean"
"Haiti","haiti","$2,355,000,000","31 December 2019",120,"Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","$2,339,000,000","31 December 2019",121,"East and Southeast Asia"
"Namibia","namibia","$2,049,000,000","31 December 2019",122,"Africa"
"Mauritania","mauritania","$2,039,000,000","2021",123,"Africa"
"Senegal","senegal","$1,827,000,000","31 December 2017",124,"Africa"
"Bahamas, The","bahamas-the","$1,758,000,000","31 December 2019",125,"Central America and the Caribbean"
"Madagascar","madagascar","$1,693,000,000","31 December 2019",126,"Africa"
"Montenegro","montenegro","$1,529,000,000","31 December 2019",127,"Europe"
"Guinea","guinea","$1,499,000,000","2020",128,"Africa"
"Tajikistan","tajikistan","$1,466,000,000","31 December 2019",129,"Central Asia"
"Rwanda","rwanda","$1,465,000,000","31 December 2019",130,"Africa"
"Zambia","zambia","$1,449,000,000","31 December 2019",131,"Africa"
"Estonia","estonia","$1,426,000,000","31 December 2019",132,"Europe"
"Yemen","yemen","$1,414,000,000","31 December 2019",133,"Middle East"
"Gabon","gabon","$1,372,000,000","2019",134,"Africa"
"Niger","niger","$1,314,000,000","31 December 2017",135,"Africa"
"Laos","laos","$1,111,000,000","31 December 2019",136,"East and Southeast Asia"
"Luxembourg","luxembourg","$1,055,000,000","31 December 2019",137,"Europe"
"Fiji","fiji","$1,043,000,000","31 December 2019",138,"Australia and Oceania"
"Cyprus","cyprus","$1,033,000,000","31 December 2019",139,"Europe"
"Slovenia","slovenia","$1,015,000,000","31 December 2019",140,"Europe"
"Aruba","aruba","$982,300,000","31 December 2019",141,"Central America and the Caribbean"
"Bhutan","bhutan","$976,260,000","2021",142,"South Asia"
"Kosovo","kosovo","$965,832,000","31 December 2019",143,"Europe"
"Malta","malta","$937,616,000","31 December 2019",144,"Europe"
"Lesotho","lesotho","$774,095,000","2019",145,"Africa"
"Barbados","barbados","$772,119,000","31 December 2019",146,"Central America and the Caribbean"
"Maldives","maldives","$753,496,300","31 December 2019",147,"South Asia"
"Cabo Verde","cabo-verde","$737,991,000","31 December 2019",148,"Africa"
"Benin","benin","$698,900,000","31 December 2017",149,"Africa"
"West Bank","west-bank","$658,352,000","31 December 2019",150,"Middle East"
"Gaza Strip","gaza-strip","$658,352,000","31 December 2019",151,"Middle East"
"Timor-Leste","timor-leste","$656,221,000","31 December 2019",152,"East and Southeast Asia"
"Suriname","suriname","$647,935,000","31 December 2019",153,"South America"
"Mali","mali","$647,800,000","31 December 2017",154,"Africa"
"Malawi","malawi","$594,498,000","2020",155,"Africa"
"Palau","palau","$580,900,000","31 December 2015",156,"Australia and Oceania"
"Seychelles","seychelles","$580,546,000","31 December 2019",157,"Africa"
"Guyana","guyana","$573,446,000","31 December 2019",158,"South America"
"Solomon Islands","solomon-islands","$571,632,000","31 December 2019",159,"Australia and Oceania"
"Sierra Leone","sierra-leone","$530,138,000","31 December 2019",160,"Africa"
"Vanuatu","vanuatu","$511,546,000","31 December 2019",161,"Australia and Oceania"
"Djibouti","djibouti","$501,858,000","31 December 2019",162,"Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","$497,434,000","2021",163,"Australia and Oceania"
"San Marino","san-marino","$473,111,000","31 December 2019",164,"Europe"
"Eswatini","eswatini","$440,314,200","31 December 2019",165,"Africa"
"Congo, Republic of the","congo-republic-of-the","$423,617,000","31 December 2018",166,"Africa"
"Syria","syria","$407,300,000","31 December 2017",167,"Middle East"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$362,798,000","31 December 2019",168,"Central America and the Caribbean"
"Central African Republic","central-african-republic","$361,797,000","31 December 2018",169,"Africa"
"Guinea-Bissau","guinea-bissau","$356,400,000","31 December 2017",170,"Africa"
"Liberia","liberia","$297,071,000","31 December 2019",171,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","$279,133,000","31 December 2019",172,"Central America and the Caribbean"
"Belize","belize","$277,578,800","31 December 2019",173,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","$260,870,000","31 December 2019",174,"Central America and the Caribbean"
"Gambia, The","gambia-the","$256,957,000","31 December 2019",175,"Africa"
"Grenada","grenada","$236,325,000","31 December 2019",176,"Central America and the Caribbean"
"Tonga","tonga","$218,448,000","31 December 2019",177,"Australia and Oceania"
"Cayman Islands","cayman-islands","$216,800,000","2020",178,"Central America and the Caribbean"
"Comoros","comoros","$202,031,700","31 December 2019",179,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$193,357,000","31 December 2019",180,"Central America and the Caribbean"
"Eritrea","eritrea","$191,694,000","2019",181,"Africa"
"South Sudan","south-sudan","$183,615,000","2020",182,"Africa"
"Sudan","sudan","$177,934,000","2017",183,"Africa"
"Samoa","samoa","$177,244,000","31 December 2019",184,"Australia and Oceania"
"Dominica","dominica","$155,172,000","31 December 2019",185,"Central America and the Caribbean"
"Zimbabwe","zimbabwe","$151,241,000","31 December 2019",186,"Africa"
"Chad","chad","$147,750,000","31 December 2018",187,"Africa"
"Burundi","burundi","$111,374,000","31 December 2019",188,"Africa"
"Togo","togo","$77,800,000","31 December 2017",189,"Africa"
"Anguilla","anguilla","$76,380,000","31 December 2017",190,"Central America and the Caribbean"
"Burkina Faso","burkina-faso","$49,000,000","31 December 2017",191,"Africa"
"Equatorial Guinea","equatorial-guinea","$48,930,000","31 December 2018",192,"Africa"
"Montserrat","montserrat","$47,580,000","31 December 2017",193,"Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","$47,148,000","31 December 2019",194,"Africa"
"Somalia","somalia","$30,450,000","2014",195,"Africa"
"Kiribati","kiribati","$8,370,000","31 December 2010",196,"Australia and Oceania"
