name,slug,% (of GDP),date_of_information,ranking,region
"West Bank","west-bank","0.4","2017",39,"Middle East"
"Saint Lucia","saint-lucia","0.3","2017",40,"Central America and the Caribbean"
"Uzbekistan","uzbekistan","0.3","2017",41,"Central Asia"
"Isle of Man","isle-of-man","0.3","FY05/06",42,"Europe"
"Serbia","serbia","0.2","2017",43,"Europe"
"Tonga","tonga","0","2017",44,"Australia and Oceania"
"Slovenia","slovenia","0","2017",45,"Europe"
"British Virgin Islands","british-virgin-islands","0","2017",46,"Central America and the Caribbean"
"New Caledonia","new-caledonia","0","2015",47,"Australia and Oceania"
"Taiwan","taiwan","-0.1","2017",48,"East and Southeast Asia"
"Nepal","nepal","-0.1","2017",49,"South Asia"
"Somalia","somalia","-0.1","2014",50,"Africa"
"United Arab Emirates","united-arab-emirates","-0.2","2017",51,"Middle East"
"Singapore","singapore","-0.3","2017",52,"East and Southeast Asia"
"Mauritius","mauritius","-0.3","2017",53,"Africa"
"Estonia","estonia","-0.3","2017",54,"Europe"
"Ireland","ireland","-0.3","2017",55,"Europe"
"Jersey","jersey","-0.4","2005",56,"Europe"
"Curacao","curacao","-0.4","2012",57,"Central America and the Caribbean"
"Korea, North","korea-north","-0.4","2007",58,"East and Southeast Asia"
"Virgin Islands","virgin-islands","-0.4","2016",59,"Central America and the Caribbean"
"Australia","australia","-0.5","2017",60,"Australia and Oceania"
"Latvia","latvia","-0.5","2017",61,"Europe"
"Guinea","guinea","-0.5","2017",62,"Africa"
"Seychelles","seychelles","-0.5","2017",63,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","-0.6","2017",64,"Central America and the Caribbean"
"Finland","finland","-0.6","2017",65,"Europe"
"Moldova","moldova","-0.6","2017",66,"Europe"
"Puerto Rico","puerto-rico","-0.7","2017",67,"Central America and the Caribbean"
"Austria","austria","-0.7","2017",68,"Europe"
"Wallis and Futuna","wallis-and-futuna","-0.8","2015",69,"Australia and Oceania"
"Mauritania","mauritania","-0.8","2017",70,"Africa"
"Vanuatu","vanuatu","-0.9","2017",71,"Australia and Oceania"
"Central African Republic","central-african-republic","-0.9","2017",72,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","-0.9","2017",73,"Africa"
"Slovakia","slovakia","-1","2017",74,"Europe"
"Guam","guam","-1","2016",75,"Australia and Oceania"
"Canada","canada","-1","2017",76,"North America"
"Belize","belize","-1","2017",77,"Central America and the Caribbean"
"Botswana","botswana","-1","2017",78,"Africa"
"Belgium","belgium","-1","2017",79,"Europe"
"Haiti","haiti","-1","2017",80,"Central America and the Caribbean"
"Monaco","monaco","-1","2011",81,"Europe"
"Paraguay","paraguay","-1.1","2017",82,"South America"
"Mexico","mexico","-1.1","2017",83,"North America"
"Brazil","brazil","-1.1","2017",84,"South America"
"South Sudan","south-sudan","-1.3","FY2017/18",85,"Africa"
"Guatemala","guatemala","-1.3","2017",86,"Central America and the Caribbean"
"Guinea-Bissau","guinea-bissau","-1.3","2017",87,"Africa"
"Russia","russia","-1.4","2017",88,"Central Asia"
"Turkey (Turkiye)","turkey-turkiye","-1.5","2017",89,"Middle East"
"Tajikistan","tajikistan","-1.5","2017",90,"Central Asia"
"Chad","chad","-1.5","2017",91,"Africa"
"Panama","panama","-1.6","2017",92,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","-1.6","2017",93,"Middle East"
"Poland","poland","-1.7","2017",94,"Europe"
"Faroe Islands","faroe-islands","-1.7","2014",95,"Europe"
"Nigeria","nigeria","-1.8","2017",96,"Africa"
"Cambodia","cambodia","-1.8","2017",97,"East and Southeast Asia"
"Kazakhstan","kazakhstan","-1.8","2017",98,"Central Asia"
"Tanzania","tanzania","-1.8","2017",99,"Africa"
"United Kingdom","united-kingdom","-1.9","2017",100,"Europe"
"Gabon","gabon","-1.9","2017",101,"Africa"
"Nicaragua","nicaragua","-2","2017",102,"Central America and the Caribbean"
"Hungary","hungary","-2","2017",103,"Europe"
"Israel","israel","-2","2017",104,"Middle East"
"Albania","albania","-2","2017",105,"Europe"
"American Samoa","american-samoa","-2.1","2016",106,"Australia and Oceania"
"Kosovo","kosovo","-2.1","2017",107,"Europe"
"Philippines","philippines","-2.2","2017",108,"East and Southeast Asia"
"Iran","iran","-2.3","2017",109,"Middle East"
"Italy","italy","-2.3","2017",110,"Europe"
"Sao Tome and Principe","sao-tome-and-principe","-2.4","2017",111,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","-2.4","2017",112,"Central America and the Caribbean"
"El Salvador","el-salvador","-2.5","2017",113,"Central America and the Caribbean"
"Bahamas, The","bahamas-the","-2.6","2017",114,"Central America and the Caribbean"
"Gambia, The","gambia-the","-2.6","2017",115,"Africa"
"France","france","-2.6","2017",116,"Europe"
"Colombia","colombia","-2.7","2017",117,"South America"
"Madagascar","madagascar","-2.7","2017",118,"Africa"
"North Macedonia","north-macedonia","-2.7","2017",119,"Europe"
"Honduras","honduras","-2.7","2017",120,"Central America and the Caribbean"
"Aruba","aruba","-2.7","2017",121,"Central America and the Caribbean"
"Indonesia","indonesia","-2.7","2017",122,"East and Southeast Asia"
"Turkmenistan","turkmenistan","-2.8","2017",123,"Central Asia"
"Chile","chile","-2.8","2017",124,"South America"
"Romania","romania","-2.8","2017",125,"Europe"
"Mali","mali","-2.9","2017",126,"Africa"
"Solomon Islands","solomon-islands","-2.9","2017",127,"Australia and Oceania"
"Bermuda","bermuda","-2.9","2017",128,"North America"
"San Marino","san-marino","-2.9","2011",129,"Europe"
"Dominican Republic","dominican-republic","-3","2017",130,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","-3","2017",131,"Africa"
"Malaysia","malaysia","-3","2017",132,"East and Southeast Asia"
"Portugal","portugal","-3","2017",133,"Europe"
"Spain","spain","-3.1","2017",134,"Europe"
"Peru","peru","-3.1","2017",135,"South America"
"Bangladesh","bangladesh","-3.2","2017",136,"South Asia"
"Burma","burma","-3.2","2017",137,"East and Southeast Asia"
"Kyrgyzstan","kyrgyzstan","-3.2","2017",138,"Central Asia"
"Ethiopia","ethiopia","-3.2","2017",139,"Africa"
"Equatorial Guinea","equatorial-guinea","-3.3","2017",140,"Africa"
"Cameroon","cameroon","-3.4","2017",141,"Africa"
"Malawi","malawi","-3.4","2017",142,"Africa"
"Bhutan","bhutan","-3.4","2017",143,"South Asia"
"United States","united-states","-3.4","2017",144,"North America"
"India","india","-3.5","2017",145,"South Asia"
"Uruguay","uruguay","-3.5","2017",146,"South America"
"Thailand","thailand","-3.5","2017",147,"East and Southeast Asia"
"Japan","japan","-3.5","2017",148,"East and Southeast Asia"
"Senegal","senegal","-3.6","2017",149,"Africa"
"Morocco","morocco","-3.6","2017",150,"Africa"
"Georgia","georgia","-3.8","2017",151,"Middle East"
"China","china","-3.8","2017",152,"East and Southeast Asia"
"Togo","togo","-3.8","2017",153,"Africa"
"Fiji","fiji","-4","2017",154,"Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","-4","FY09/10",155,"South America"
"Barbados","barbados","-4","2017",156,"Central America and the Caribbean"
"Uganda","uganda","-4.1","2017",157,"Africa"
"Cote d'Ivoire","cote-divoire","-4.2","2017",158,"Africa"
"Iraq","iraq","-4.2","2017",159,"Middle East"
"Rwanda","rwanda","-4.3","2017",160,"Africa"
"Liberia","liberia","-4.3","2017",161,"Africa"
"South Africa","south-africa","-4.4","2017",162,"Africa"
"Guyana","guyana","-4.5","2017",163,"South America"
"Ecuador","ecuador","-4.5","2017",164,"South America"
"Samoa","samoa","-4.7","2017",165,"Australia and Oceania"
"Papua New Guinea","papua-new-guinea","-4.8","2017",166,"East and Southeast Asia"
"Armenia","armenia","-4.8","2017",167,"Middle East"
"Niger","niger","-5","2017",168,"Africa"
"Jordan","jordan","-5.1","2017",169,"Middle East"
"Yemen","yemen","-5.2","2017",170,"Middle East"
"Ukraine","ukraine","-5.5","2021",171,"Europe"
"Namibia","namibia","-5.5","2017",172,"Africa"
"Laos","laos","-5.5","2017",173,"East and Southeast Asia"
"Sri Lanka","sri-lanka","-5.5","2017",174,"South Asia"
"Mozambique","mozambique","-5.6","2017",175,"Africa"
"Montenegro","montenegro","-5.6","2017",176,"Europe"
"Burundi","burundi","-5.7","2017",177,"Africa"
"Qatar","qatar","-5.8","2017",178,"Middle East"
"Tunisia","tunisia","-5.8","2017",179,"Africa"
"Pakistan","pakistan","-5.8","2017",180,"South Asia"
"Dominica","dominica","-5.9","2017",181,"Central America and the Caribbean"
"Lesotho","lesotho","-6","2017",182,"Africa"
"Argentina","argentina","-6","2017",183,"South America"
"Ghana","ghana","-6","2017",184,"Africa"
"Costa Rica","costa-rica","-6.1","2017",185,"Central America and the Caribbean"
"Benin","benin","-6.2","2017",186,"Africa"
"Mongolia","mongolia","-6.4","2017",187,"East and Southeast Asia"
"Comoros","comoros","-6.5","2017",188,"Africa"
"Angola","angola","-6.7","2017",189,"Africa"
"Kenya","kenya","-6.7","2017",190,"Africa"
"Vietnam","vietnam","-6.7","2017",191,"East and Southeast Asia"
"Andorra","andorra","-6.9","2016",192,"Europe"
"Lebanon","lebanon","-6.9","2017",193,"Middle East"
"Congo, Republic of the","congo-republic-of-the","-7","2017",194,"Africa"
"Zambia","zambia","-7.3","2017",195,"Africa"
"Suriname","suriname","-7.8","2017",196,"South America"
"Bolivia","bolivia","-7.8","2017",197,"South America"
"Burkina Faso","burkina-faso","-7.9","2017",198,"Africa"
"Sierra Leone","sierra-leone","-7.9","2017",199,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","-8.2","2017",200,"Central America and the Caribbean"
"Eswatini","eswatini","-8.5","2017",201,"Africa"
"Egypt","egypt","-8.6","2017",202,"Africa"
"Syria","syria","-8.7","2017",203,"Middle East"
"Saudi Arabia","saudi-arabia","-8.9","2017",204,"Middle East"
"Djibouti","djibouti","-9","2017",205,"Africa"
"Nauru","nauru","-9.2","2017",206,"Australia and Oceania"
"Algeria","algeria","-9.6","2017",207,"Africa"
"Zimbabwe","zimbabwe","-9.6","2017",208,"Africa"
"Eritrea","eritrea","-9.8","2017",209,"Africa"
"Kuwait","kuwait","-10","2017",210,"Middle East"
"Maldives","maldives","-10.1","2016",211,"South Asia"
"Bahrain","bahrain","-10.1","2017",212,"Middle East"
"Sudan","sudan","-10.6","2017",213,"Africa"
"Cuba","cuba","-10.8","2017",214,"Central America and the Caribbean"
"Niue","niue","-12.6","FY04/05",215,"Australia and Oceania"
"Oman","oman","-13.8","2017",216,"Middle East"
"Afghanistan","afghanistan","-15.1","2017",217,"South Asia"
"Brunei","brunei","-17.3","2017",218,"East and Southeast Asia"
"Libya","libya","-25.1","2017",219,"Africa"
"Venezuela","venezuela","-46.1","2017",220,"South America"
"Kiribati","kiribati","-64.1","2017",221,"Australia and Oceania"
"Timor-Leste","timor-leste","-75.7","2017",222,"East and Southeast Asia"
